Feature Name,xaxis_name
app_usage_total_minutes_per_hour,Total app usage (in minutes)
app_usage_category_books_minutes_per_hour,Book app usage (in minutes)
app_usage_category_business_minutes_per_hour,Business app usage (in minutes)
app_usage_category_catalogs_minutes_per_hour,Catalog app usage (in minutes)
app_usage_category_developer_tools_minutes_per_hour,Developer app usage (in minutes)
app_usage_category_education_minutes_per_hour,Education app usage (in minutes)
app_usage_category_entertainment_minutes_per_hour,Entertainment app usage (in minutes)
app_usage_category_finance_minutes_per_hour,Finance app usage (in minutes)
app_usage_category_food_and_drink_minutes_per_hour,Food and drink app usage (in minutes)
app_usage_category_games_minutes_per_hour,Gaming app usage (in minutes)
app_usage_category_graphics_and_design_minutes_per_hour,Graphic design app usage (in minutes)
app_usage_category_health_and_fitness_minutes_per_hour,Health and fitness app usage (in minutes)
app_usage_category_kids_minutes_per_hour,Kids app usage (in minutes)
app_usage_category_lifestyle_minutes_per_hour,Lifestyle app usage (in minutes)
app_usage_category_medical_minutes_per_hour,Medical app usage (in minutes)
app_usage_category_miscellaneous_minutes_per_hour,Miscellaneous app usage (in minutes)
app_usage_category_music_minutes_per_hour,Music app usage (in minutes)
app_usage_category_navigation_minutes_per_hour,Navigation app usage (in minutes)
app_usage_category_news_minutes_per_hour,News app usage (in minutes)
app_usage_category_newsstand_minutes_per_hour,Newsstand app usage (in minutes)
app_usage_category_photo_and_video_minutes_per_hour,Photo and video app usage (in minutes)
app_usage_category_productivity_minutes_per_hour,Productivity app usage (in minutes)
app_usage_category_reference_minutes_per_hour,Reference app usage (in minutes)
app_usage_category_shopping_minutes_per_hour,Shopping app usage (in minutes)
app_usage_category_social_networking_minutes_per_hour,Social media app usage (in minutes)
app_usage_category_sports_minutes_per_hour,Sports app usage (in minutes)
app_usage_category_stickers_minutes_per_hour,Stickers app usage (in minutes)
app_usage_category_travel_minutes_per_hour,Travel app usage (in minutes)
app_usage_category_utilities_minutes_per_hour,Utilities app usage (in minutes)
app_usage_category_weather_minutes_per_hour,Weather app usage (in minutes)
app_usage_total_minutes_daily,Total app usage daily (in minutes)
app_usage_category_books_minutes_daily,Book app usage daily (in minutes)
app_usage_category_business_minutes_daily,Business app usage daily (in minutes)
app_usage_category_catalogs_minutes_daily,Catalog app usage daily (in minutes)
app_usage_category_developer_tools_minutes_daily,Developer app usage daily (in minutes)
app_usage_category_education_minutes_daily,Education app usage daily (in minutes)
app_usage_category_entertainment_minutes_daily,Entertainment app usage daily (in minutes)
app_usage_category_finance_minutes_daily,Finance app usage daily (in minutes)
app_usage_category_food_and_drink_minutes_daily,Food and drink app usage daily (in minutes)
app_usage_category_games_minutes_daily,Gaming app usage daily (in minutes)
app_usage_category_graphics_and_design_minutes_daily,Graphic design app usage daily (in minutes)
app_usage_category_health_and_fitness_minutes_daily,Health and fitness app usage daily (in minutes)
app_usage_category_kids_minutes_daily,Kids app usage daily (in minutes)
app_usage_category_lifestyle_minutes_daily,Lifestyle app usage daily (in minutes)
app_usage_category_medical_minutes_daily,Medical app usage daily (in minutes)
app_usage_category_miscellaneous_minutes_daily,Miscellaneous app usage daily (in minutes)
app_usage_category_music_minutes_daily,Music app usage daily (in minutes)
app_usage_category_navigation_minutes_daily,Navigation app usage daily (in minutes)
app_usage_category_news_minutes_daily,News app usage daily (in minutes)
app_usage_category_newsstand_minutes_daily,Newsstand app usage daily (in minutes)
app_usage_category_photo_and_video_minutes_daily,Photo and video app usage daily (in minutes)
app_usage_category_productivity_minutes_daily,Productivity app usage daily (in minutes)
app_usage_category_reference_minutes_daily,Reference app usage daily (in minutes)
app_usage_category_shopping_minutes_daily,Shopping app usage daily (in minutes)
app_usage_category_social_networking_minutes_daily,Social media app usage daily (in minutes)
app_usage_category_sports_minutes_daily,Sports app usage daily (in minutes)
app_usage_category_stickers_minutes_daily,Stickers app usage daily (in minutes)
app_usage_category_travel_minutes_daily,Travel app usage daily (in minutes)
app_usage_category_utilities_minutes_daily,Utilities app usage daily (in minutes)
app_usage_category_weather_minutes_daily,Weather app usage daily (in minutes)
distance_per_hour,Distance traveled (miles)
span_per_hour,Distance traveled (miles)
num_incoming_messages_per_hour,Number of messages received
num_outgoing_messages_per_hour,Number of messages sent
num_unique_contacts_per_hour,Number of people you messaged
num_total_incoming_and_outgoing_messages_daily,Number of total messages
num_incoming_calls_daily,Number of calls received
num_outgoing_calls_daily,Number of calls made
phone_call_duration_minutes_daily,Length of phone calls
num_unique_contacts_daily,Number of people you called
screen_wakes_per_hour,Screen wakes
unlocks_per_hour,Screen unlocks
unlocked_minutes_per_hour,Time that your phone was unlocked (in minutes)
screen_wakes_working_day,Screen wakes during the day
unlocks_working_day,Screen unlocks during the day
unlocked_minutes_working_day,Time that your phone was unlocked during the day (in minutes)
screen_wakes_last_night,Screen wakes during the night
unlocks_last_night,Screen unlocks during the night
unlocked_minutes_last_night,Time that your phone was unlocked during the night (in minutes)
estimated_sleep_duration_hours,Hours of sleep
time_spent_at_home_hrs_yesterday,Time spent at home (in hours)
time_spent_at_home_hrs_two_days_ago,Time spent at home (in hours)
time_spent_at_home_avg_hrs_past_week,Average time spent at home (in hours)
keyboard_total_taps_per_hour,Keyboard taps in an hour
keyboard_total_words_per_hour,Number of words typed in an hour
keyboard_input_modes,Different keyboard modes
keyboard_average_daily_taps_per_hour,Average keyboard taps in an hour
keyboard_average_daily_words_per_hour,Average number of words typed in an hour
keyboard_input_modes_daily,Different keyboard modes daily
convex_area,Area covered (in square meters)
buffer_space,Area covered (in square meters)
min_lux_mean,Dimmest light around you (in lux)
max_lux_mean,Light around you (in lux)
mean_lux_mean,Light around you (in lux)
magnitude_max,Your movement
magnitude_mean,Your movement
magnitude_median,Your movement
magnitude_max_working_day,Your movement
magnitude_mean_working_day,Your movement
magnitude_median_working_day,Your movement
magnitude_max_last_night,Your movement
magnitude_mean_last_night,Your movement
magnitude_median_last_night,Your movement
magnitude_min,Your slowest movement
magnitude_min_working_day,Your slowest movement
magnitude_min_last_night,Your slowest movement
std_lux_mean,Variety in light around you (in lux)
magnitude_std,Variety in your movement
magnitude_std_working_day,Variety in your movement
magnitude_std_last_night,Variety in your movement
battery_level_min,Lowest battery level
battery_level_max,Maximum battery level
battery_level_mean,Average battery level
battery_level_median,Average battery level
